ONSCode,local_authority_name,year,cars_and_taxis,ONSGeo_x,DATE,EVCOUNT,filter_id_142,VEHCOUNT,filter_id_105,EVshare_32,EVCOUNT_31,filter_id_142_31,VEHCOUNT_31,filter_id_105_31,EVshare_31,EVCOUNT_7,filter_id_142_7,VEHCOUNT_7,filter_id_105_7,EVshare_7,emiles,emilespct,Dem_MWh,CTYCODE_x,CS_count,Highest_kW,TOTALOUTPUTKW,CTYCODE_y,LA_pct,HHI,OSS,CSUtotal,CSUhighest,id,ONSGeo_y,COMP,NEW
E06000030,Swindon,2019,1086682646.0,   Swindon,2022-03-31,491.0,32,107515.0,30,0.45668046319118266,10130.0,31,136770.0,29,7.406595013526358,20222.0,7,244285.0,1,8.278035900689767,97785601.75946186,8.998542685797327,30900.25015598995,E06000030,51,1045.0,1955.0,E06000030,21.568627450980394,2256.8242983467894,0.32,0.5773791618445143,1.0801686712019383,22,Swindon,79636.0,0.0
E06000031,Peterborough,2019,1043944603.0,   Peterborough,2022-03-31,375.0,32,90901.0,30,0.41253671576770334,16238.0,31,90409.0,29,17.96060126757292,7313.0,7,181310.0,1,4.03342341845458,57188944.746938124,5.478158954277205,18071.706540032446,E06000031,33,725.4,1513.5,E06000031,0.0,560.1469237832874,0.32,0.4361768507187506,0.9100546781952428,23,Peterborough,0.0,0.0
E06000032,Luton,2019,472799233.8,   Luton,2022-03-31,408.0,32,83432.0,30,0.4890209991370218,71.0,31,3445.0,29,2.0609579100145137,372.0,7,86877.0,1,0.4281915812010083,3170443.841694188,0.6705687351082564,1001.8602539753633,E06000032,52,714.5,1209.9,E06000032,23.076923076923077,4149.408284023669,0.32,0.03024847908787098,0.05122132239106381,24,Luton,23336.0,0.0
E06000033,Southend-on-Sea,2019,369345542.9,   Southend-on-Sea,2022-03-31,319.0,32,78442.0,30,0.40666989622906097,47.0,31,2528.0,29,1.8591772151898733,488.0,7,80970.0,1,0.6026923551932815,2971185.782676843,0.8044460911448684,938.8947073258825,E06000033,16,314.0,708.0,E06000033,25.0,1640.625,0.32,0.048442829880343756,0.10922778202319548,25,Southend-on-Sea,0.0,0.0
E06000034,Thurrock,2019,852376110.6,   Thurrock,2022-03-31,527.0,32,80631.0,30,0.6535947712418301,62.0,31,3151.0,29,1.9676293240241192,487.0,7,83782.0,1,0.5812704399513022,7676390.474457735,0.9005872383089445,2425.7393899286444,E06000034,22,696.7,1412.4,E06000034,4.545454545454546,1942.1487603305786,0.32,0.0627382360263406,0.12718743298923993,26,Thurrock,0.0,0.0
E06000035,Medway,2019,751318138.6,   Medway,2022-03-31,600.0,32,129869.0,30,0.46200401943496905,111.0,31,4915.0,29,2.2583926754832144,954.0,7,134784.0,1,0.7077991452991453,7049460.499617834,0.9382790242165243,2227.6295178792357,E06000035,38,522.7,911.4,E06000035,0.0,5263.1578947368425,0.32,0.08928526910295008,0.15568125934652516,27,Medway,0.0,85420.0
E06000036,Bracknell Forest,2019,413645269.3,   Bracknell Forest,2022-03-31,446.0,32,67042.0,30,0.6652546165090539,52.0,31,10437.0,29,0.49822745999808377,622.0,7,77479.0,1,0.8027981775706966,4529121.797622092,1.0949289484892681,1431.2024880485812,E06000036,27,458.7,758.4,E06000036,0.0,2784.636488340192,0.32,0.06893640483443064,0.11397726057648179,28,Bracknell Forest,0.0,98620.0
E06000037,West Berkshire,2019,1568199866.0,   West Berkshire,2022-03-31,653.0,32,90106.0,30,0.7247020176236877,288.0,31,3385.0,29,8.508124076809453,1080.0,7,93491.0,1,1.1551914087987079,24207453.13041063,1.5436459124407698,7649.555189209759,E06000037,69,1362.6,3166.0,E06000037,60.869565217391305,4215.500945179584,0.32,0.08826146746637083,0.20507544840637754,29,West Berkshire,60328.04,0.0
E06000038,Reading,2019,290212931.7,   Reading,2022-03-31,312.0,32,63500.0,30,0.4913385826771654,89.0,31,2526.0,29,3.523357086302455,528.0,7,66026.0,1,0.7996849725865568,3051442.2132809954,1.0514494290128131,964.2557393967946,E06000038,39,832.1,1410.8,E06000038,12.820512820512821,716.6337935568705,0.32,0.024967361745511653,0.042331395205585674,30,Reading,58072.28,0.0
E06000039,Slough,2019,434764870.2,   Slough,2022-03-31,365.0,32,61672.0,30,0.591840705668699,13491.0,31,107082.0,29,12.598756093461086,14857.0,7,168754.0,1,8.80393946217571,43950788.148292184,10.109093710371308,13888.449054860332,E06000039,38,895.0,1671.5,E06000039,0.0,2908.5872576177285,0.32,0.30352414283204093,0.5668610108868787,31,Slough,0.0,0.0
E06000040,Windsor and Maidenhead,2019,971127134.1,   Windsor and Maidenhead,2022-03-31,860.0,32,81465.0,30,1.0556680783158412,3282.0,31,40779.0,29,8.048260133892445,12453.0,7,122244.0,1,10.187003043094139,106187338.95630437,10.934442590229379,33555.19911019218,E06000040,34,546.7,1187.4,E06000040,0.0,1228.3737024221455,0.32,1.0323064663038675,2.2421084655006625,32,Windsor and Maidenhead,0.0,89990.0
E06000041,Wokingham,2019,860119760.3,   Wokingham,2022-03-31,935.0,32,98485.0,30,0.9493831547951465,77.0,31,2427.0,29,3.1726411207251752,1349.0,7,100912.0,1,1.336808308228952,15501623.276296277,1.802263358173458,4898.512955309624,E06000041,29,919.7,2045.4,E06000041,0.0,1510.1070154577883,0.32,0.08748465460189987,0.1945646542597869,33,Wokingham,0.0,0.0
E06000042,Milton Keynes,2019,1373316915.0,   Milton Keynes,2022-03-31,887.0,32,130935.0,30,0.6774353686943904,11373.0,31,172606.0,29,6.58899458883237,19721.0,7,303541.0,1,6.496980638529886,98908805.0794644,7.2021835600462545,31255.182405110754,E06000042,317,7792.7,16852.4,E06000042,40.063091482649845,3593.3286230333665,0.32,0.06774950885439132,0.14651427913531181,34,Milton Keynes,0.0,865960.0
E06000043,Brighton and Hove,2019,719652744.7,   Brighton and Hove,2022-03-31,589.0,32,89745.0,30,0.6563039723661486,82.0,31,3905.0,29,2.0998719590268884,919.0,7,93650.0,1,0.9813134009610252,9374389.533229869,1.3026268019220504,2962.3070925006386,E06000043,276,1589.9,2120.8,E06000043,0.0,6952.320940978786,0.32,0.05102420371223126,0.06806222481470536,35,Brighton and Hove,418630.0,144350.0
E06000044,Portsmouth,2019,665354619.7,   Portsmouth,2022-03-31,245.0,32,76155.0,30,0.32171229728842493,3852.0,31,32798.0,29,11.744618574303312,5080.0,7,108953.0,1,4.662560920763999,35284197.67637096,5.303066459849661,11149.806465733225,E06000044,78,537.0,848.5,E06000044,71.7948717948718,5282.708744247206,0.32,0.48002223491827267,0.7584708870170472,36,Portsmouth,60698.0,229860.0
E06000045,Southampton,2019,588199102.4,   Southampton,2022-03-31,282.0,32,94329.0,30,0.29895366218236175,83.0,31,3524.0,29,2.3552780930760497,551.0,7,97853.0,1,0.56308953225757,4217531.769255025,0.7170245163663863,1332.740039084588,E06000045,65,1283.0,1953.0,E06000045,64.61538461538461,4243.786982248521,0.32,0.024928094028567934,0.037945882804203565,37,Southampton,0.0,0.0
E06000046,Isle of Wight,2019,351667808.5,   Isle of Wight,2022-03-31,286.0,32,70028.0,30,0.4084080653452905,44.0,31,2706.0,29,1.6260162601626018,553.0,7,72734.0,1,0.7603046718178569,3383232.495391289,0.9620535100503204,1069.1014685436473,E06000046,19,337.0,707.0,E06000046,0.0,2022.1606648199445,0.32,0.055238946144227516,0.1158870472521331,38,Isle of Wight,0.0,67500.0
E06000047,Durham,2019,2285385021.0,   County Durham,2022-03-31,813.0,32,234546.0,30,0.34662710086720727,166.0,31,10352.0,29,1.6035548686244203,1516.0,7,244898.0,1,0.6190332301611283,18097242.97329774,0.7918684513552582,5718.728779562086,E06000047,207,3007.5,5744.2,E06000047,14.492753623188406,2083.3625055427196,0.32,0.0363676986200388,0.06946079282235308,39,County Durham,0.0,450000.0
E06000049,East Cheshire,2019,2447203162.0,   Cheshire East,2022-03-31,1513.0,32,213818.0,30,0.7076111459278451,857.0,31,10045.0,29,8.531607765057242,2383.0,7,223863.0,1,1.0644903356070454,35559945.63520117,1.4530851458257952,11236.94282072357,E06000049,65,1854.0,4070.0,E06000049,7.6923076923076925,551.4792899408284,0.32,0.10085551093959429,0.22140341398282024,40,Cheshire East,3216.0,14970.0
E06000050,West Cheshire,2019,2163729477.0,   Cheshire West and Chester,2022-03-31,953.0,32,182433.0,30,0.5223835599918875,219.0,31,9072.0,29,2.4140211640211637,1679.0,7,191505.0,1,0.8767395107177358,24617514.211520016,1.1377353071721366,7779.134490840325,E06000050,58,1191.0,2407.7,E06000050,0.0,1248.513674197384,0.32,0.11802520931555135,0.23859722625445257,41,Cheshire West and Chester,86676.0,0.0
E06000051,Shropshire,2019,1644635224.0,   Shropshire,2022-03-31,798.0,32,173081.0,30,0.46105580624100856,206.0,31,7589.0,29,2.714455132428515,1319.0,7,180670.0,1,0.7300603309902032,15847558.2784418,0.9635910776553938,5007.828415987609,E06000051,30,893.0,1949.0,E06000051,3.3333333333333335,2311.111111111111,0.32,0.09386063179080449,0.20485371932841875,42,Shropshire,0.0,89390.0
E06000052,Cornwall excluding Isles of Scilly,2019,2762490889.0,   Cornwall,2022-03-31,1047.0,32,296640.0,30,0.352953074433657,197.0,31,11990.0,29,1.6430358632193494,2282.0,7,308630.0,1,0.7393966885915174,25282300.86268872,0.9151994297378739,7989.207072609636,E06000052,161,4566.0,10377.0,E06000052,1.2422360248447204,1713.28266656379,0.32,0.02812404170132009,0.06391659674432733,43,Cornwall,10396.0,21720.0
E06000054,Wiltshire,2019,3109743572.0,   Wiltshire,2022-03-31,1602.0,32,279374.0,30,0.5734248713194499,5857.0,31,60587.0,29,9.667090299899318,10049.0,7,339961.0,1,2.9559272975429534,107138656.72638085,3.445256955944947,33855.81552553635,E06000054,62,1177.5,2692.0,E06000054,37.096774193548384,1680.54110301769,0.32,0.45941386317024374,1.0503117788996146,44,Wiltshire,0.0,0.0
E06000055,Bedford,2019,722473805.8,   Bedford,2022-03-31,480.0,32,89611.0,30,0.5356485252926538,517.0,31,25890.0,29,1.996910003862495,2209.0,7,115501.0,1,1.912537553787413,15773874.856288256,2.183314430178094,4984.544454587089,E06000055,69,921.0,1458.0,E06000055,44.927536231884055,3232.514177693762,0.32,0.12488601899360703,0.19770229716903262,45,Bedford,96883.0,0.0
E06000056,Central Bedfordshire,2019,1727959586.0,   Central Bedfordshire,2022-03-31,1017.0,32,161116.0,30,0.6312222249807592,391.0,31,6468.0,29,6.045145330859617,1710.0,7,167584.0,1,1.0203838075233913,23374843.7933829,1.352742505251098,7386.450638708997,E06000056,37,960.0,2007.0,E06000056,10.81081081081081,2695.398100803506,0.32,0.1344417941535038,0.28106737590216885,46,Central Bedfordshire,0.0,0.0
E06000057,Northumberland,2019,1636933418.0,   Northumberland,2022-03-31,809.0,32,159637.0,30,0.5067747452031798,102.0,31,6149.0,29,1.6588063099691006,1403.0,7,165786.0,1,0.8462716996610088,17918035.557759885,1.0946099188109975,5662.099236252124,E06000057,217,4139.1,8392.4,E06000057,16.129032258064516,4515.067213149568,0.32,0.024645473916505557,0.04997092974242739,47,Northumberland,0.0,96620.0
E06000058,"Bournemouth, Christchurch and Poole",2019,1127021823.0,"   Bournemouth, Christchurch and Poole",2022-03-31,912.0,32,191707.0,30,0.47572597766383073,167.0,31,6676.0,29,2.5014979029358897,1562.0,7,198383.0,1,0.7873658529208651,11554838.350334404,1.0252541800456692,3651.3289187056716,E06000058,61,2108.4,4560.5,E06000058,0.0,1916.151572158022,0.32,0.029247204979472204,0.06326213162060473,48,"Bournemouth, Christchurch and Poole",0.0,0.0
E06000059,Dorset,2019,2043282059.0,   Dorset,2022-03-31,1108.0,32,216562.0,30,0.5116317728872101,162.0,31,7506.0,29,2.158273381294964,1897.0,7,224068.0,1,0.846617990967028,22471287.802939195,1.0997643572486924,7100.9269457287855,E06000059,79,1982.1,4301.2,E06000059,5.063291139240507,1244.9927896170486,0.32,0.0603074936354496,0.130868569509508,49,Dorset,12777.0,125080.0
E08000001,Bolton,2019,1226467205.0,      Bolton,2022-03-31,466.0,32,119437.0,30,0.3901638520726408,205.0,31,6823.0,29,3.0045434559577897,729.0,7,126260.0,1,0.5773800095041977,9598130.687378822,0.7825835577380009,3033.0092972117077,E08000001,44,502.7,914.4,E08000001,0.0,2799.586776859504,0.32,0.12116673247169421,0.220399562705624,50,Bolton,0.0,0.0
E08000002,Bury,2019,928902160.7,      Bury,2022-03-31,387.0,32,83165.0,30,0.46533998677328203,517.0,31,20304.0,29,2.5462962962962963,809.0,7,103469.0,1,0.7818766973682939,9661501.776398014,1.0400989668403098,3053.034561341772,E08000002,31,256.7,444.4,E08000002,0.0,2882.414151925078,0.32,0.25095944345188814,0.4344619270355243,51,Bury,0.0,0.0
E08000003,Manchester,2019,1657172514.0,      Manchester,2022-03-31,582.0,32,154109.0,30,0.3776547768138136,212.0,31,12712.0,29,1.667715544367527,947.0,7,166821.0,1,0.5676743335671168,12556170.471617602,0.7576863824098884,3967.749869031162,E08000003,172,2482.8,3898.6,E08000003,0.0,3555.300162249865,0.32,0.03717761106170333,0.058377893702737466,52,Manchester,0.0,0.0
E08000004,Oldham,2019,663220584.8,      Oldham,2022-03-31,347.0,32,89735.0,30,0.3866941550119797,123.0,31,5337.0,29,2.304665542439573,476.0,7,95072.0,1,0.5006731740154831,4635400.687772467,0.6989229215752272,1464.7866173360994,E08000004,52,508.0,857.0,E08000004,0.0,3276.627218934911,0.32,0.06243662419445979,0.10533107664301583,53,Oldham,0.0,0.0
E08000005,Rochdale,2019,929426697.9,      Rochdale,2022-03-31,351.0,32,89211.0,30,0.39344923832262835,121.0,31,4648.0,29,2.6032702237521512,506.0,7,93859.0,1,0.5391065321386335,6893436.979683418,0.7416869985829808,2178.3260855799604,E08000005,37,674.7,1327.4,E08000005,0.0,2330.1680058436814,0.32,0.05994693056925127,0.11793916650010985,54,Rochdale,0.0,0.0
E08000006,Salford,2019,1260044473.0,      Salford,2022-03-31,338.0,32,92134.0,30,0.36685696919703914,102.0,31,5647.0,29,1.8062688153001594,571.0,7,97781.0,1,0.5839580286558738,9689537.232572382,0.7689837493991677,3061.8937654928727,E08000006,94,1327.8,2503.6,E08000006,0.0,2831.5980081484836,0.32,0.044675667265517534,0.08423708432440856,55,Salford,0.0,0.0
E08000007,Stockport,2019,1161305176.0,      Stockport,2022-03-31,770.0,32,139252.0,30,0.5529543561313303,29683.0,31,195856.0,29,15.155522424638509,30789.0,7,335108.0,1,9.187784236723683,123435545.3694033,10.62903601227067,39005.63233673144,E08000007,30,447.0,918.0,E08000007,0.0,2577.777777777778,0.32,1.552138651097042,3.1876136056086906,56,Stockport,0.0,0.0
E08000008,Tameside,2019,685312885.9,      Tameside,2022-03-31,314.0,32,95679.0,30,0.3281806875071855,89.0,31,4406.0,29,2.0199727644121652,423.0,7,100085.0,1,0.4226407553579457,4041350.0363395014,0.5897087475645701,1277.0666114832825,E08000008,25,419.0,870.0,E08000008,0.0,2256.0,0.32,0.053621649566295386,0.11133850864600713,57,Tameside,0.0,0.0
E08000009,Trafford,2019,892846622.4,      Trafford,2022-03-31,728.0,32,107031.0,30,0.680176771215816,206.0,31,4914.0,29,4.192104192104193,1158.0,7,111945.0,1,1.034436553664746,12327496.507337425,1.3806958774398141,3895.4888963186263,E08000009,51,595.0,896.7,E08000009,0.0,2410.6113033448673,0.32,0.15869406072162623,0.23916128445223908,58,Trafford,0.0,0.0
E08000010,Wigan,2019,1102523350.0,      Wigan,2022-03-31,516.0,32,149740.0,30,0.3445973019901162,130.0,31,6282.0,29,2.0694046482012096,728.0,7,156022.0,1,0.46660086398072065,7068863.4163066745,0.6411531707066952,2233.760839552909,E08000010,43,802.7,1618.4,E08000010,0.0,1768.5235262303947,0.32,0.05041928415804796,0.10165512580214876,59,Wigan,0.0,0.0
E08000011,Knowsley,2019,918436250.1,      Knowsley,2022-03-31,211.0,32,57119.0,30,0.3694042262644654,71.0,31,4487.0,29,1.582349008246044,278.0,7,61606.0,1,0.4512547479141642,5844621.424685973,0.6363665876700322,1846.9003702007674,E08000011,10,343.0,817.0,E08000011,0.0,1800.0,0.32,0.08257855592409104,0.19669586061219352,60,Knowsley,0.0,0.0
E08000012,Liverpool,2019,1440402034.0,      Liverpool,2022-03-31,463.0,32,144741.0,30,0.31988171976150503,167.0,31,12863.0,29,1.2982974422762963,809.0,7,157604.0,1,0.5133118448770336,9696145.566808457,0.6731555036674196,3063.9819991114723,E08000012,134,1603.1,2714.6,E08000012,50.74626865671642,2719.982178658944,0.32,0.04123122488490577,0.06981865327962397,61,Liverpool,67575.0,0.0
E08000013,St. Helens,2019,728175389.4,      St. Helens,2022-03-31,279.0,32,82820.0,30,0.33687515092972714,88.0,31,4582.0,29,1.9205587079877782,401.0,7,87402.0,1,0.45879956980389464,4589816.065700486,0.630317384041555,1450.3818767613536,E08000013,26,467.4,922.8,E08000013,0.0,1745.5621301775147,0.32,0.057414376209050225,0.1133546991136319,62,St. Helens,0.0,0.0
